Anuncio BOE,Cantidad reclamada,Cuenta expediente,Fecha de conclusión,Fecha de inicio,Forma adjudicación,Identificador,Importe del depósito,Lotes,Puja mínima,Tasación,Tipo de subasta,Tramos entre pujas,Valor subasta
BOE-B-2025-8827,"258.073,22 €",0773 0000 06 0180 21,03-04-2025 18:00:00 CET  (ISO: 2025-04-03T18:00:00+02:00),14-03-2025 18:00:00 CET  (ISO: 2025-03-14T18:00:00+01:00),,SUB-JA-2025-243658,"15.555,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"6.222,00 €","311.100,00 €"
BOE-B-2025-9661,"238.804,36 €",0629 0000 06 3215 18,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-243781,"20.175,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"8.070,00 €","403.500,00 €"
BOE-B-2025-9676,"252.136,34 €",2384 0000 06 0045 21,09-04-2025 18:00:00 CET  (ISO: 2025-04-09T18:00:00+02:00),20-03-2025 18:00:00 CET  (ISO: 2025-03-20T18:00:00+01:00),,SUB-JA-2025-243298,"11.439,70 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"4.575,88 €","228.793,98 €"
BOE-B-2025-9395,"3.204,11 €",3530 0000 05 0030 23,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-JA-2025-238414,"4.496,22 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"1.798,49 €","89.924,49 €"
BOE-B-2025-7337,"90.000,00 €",4197 0000 06 0353 21,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-242779,"13.500,00 €",Sin lotes,Sin puja mínima,"270.000,00 €",JUDICIAL EN VÍA DE APREMIO,"5.400,00 €","270.000,00 €"
BOE-B-2025-9555,,,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-AT-2025-24R0886001480,"4.830,30 €",Sin lotes,"9.660,62 €","96.606,18 €",AGENCIA TRIBUTARIA,"2.000,00 €","96.606,18 €"
BOE-B-2025-7373,"150.275,67 €",4988 0000 06 0089 20,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243131,"15.000,00 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"6.000,00 €","300.000,00 €"
BOE-B-2025-7546,"30.147,09 €",,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-RC-2025-0026I20240291,"1.948,25 €",Sin lotes,"3.896,50 €","64.941,64 €",RECAUDACIÓN TRIBUTARIA,"1.000,00 €","38.964,98 €"
BOE-B-2025-7466,,,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-AT-2025-24R0786001091,"21.450,00 €",Sin lotes,"42.900,00 €","429.000,00 €",AGENCIA TRIBUTARIA,"2.000,00 €","429.000,00 €"
BOE-B-2025-7348,"144.850,04 €",4037 0000 06 1557 18,24-03-2025 18:00:00 CET  (ISO: 2025-03-24T18:00:00+01:00),04-03-2025 18:00:00 CET  (ISO: 2025-03-04T18:00:00+01:00),,SUB-JA-2025-243235,"13.127,40 €",Sin lotes,Sin puja mínima,"0,00 €",JUDICIAL EN VÍA DE APREMIO,"5.250,96 €","262.548,00 €"
BOE-B-2025-9481,,,07-04-2025 18:00:00 CET  (ISO: 2025-04-07T18:00:00+02:00),18-03-2025 18:00:00 CET  (ISO: 2025-03-18T18:00:00+01:00),,SUB-AT-2025-25R4686001002,"3.322,14 €",Sin lotes,"6.644,30 €","66.442,95 €",AGENCIA TRIBUTARIA,"2.000,00 €","66.442,95 €"
